epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15407030284404755,0.0010000000474974513,2.7741665840148926,0.36350390315055847,1.868177056312561
1,0.4760517179965973,0.0010000000474974513,1.5241373777389526,0.7552358508110046,0.9111108779907227
2,0.697186291217804,0.0010000000474974513,0.862573504447937,0.8411946892738342,0.4974014163017273
3,0.8011291027069092,0.0010000000474974513,0.5615018010139465,0.909670352935791,0.3237907290458679
4,0.8549444675445557,0.0010000000474974513,0.40856999158859253,0.9473684430122375,0.1930783987045288
5,0.8994718790054321,0.0010000000474974513,0.2917832136154175,0.9708614349365234,0.11837664991617203
6,0.9198233485221863,0.0010000000474974513,0.23251569271087646,0.9881624579429626,0.07724388688802719
7,0.9384902715682983,0.0010000000474974513,0.18187201023101807,0.9850664734840393,0.07025612890720367
8,0.949098527431488,0.0010000000474974513,0.15070386230945587,0.9898014664649963,0.053080156445503235
9,0.9602076411247253,0.0010000000474974513,0.11791685223579407,0.9910762906074524,0.041046835482120514
10,0.965853214263916,0.0010000000474974513,0.10313955694437027,0.9923511147499084,0.033638846129179
11,0.9741395115852356,0.0010000000474974513,0.08011037856340408,0.9974503517150879,0.015633337199687958
12,0.9718174934387207,0.0010000000474974513,0.08416186273097992,0.9985430836677551,0.012519782409071922
13,0.9772354960441589,0.0010000000474974513,0.07013724744319916,0.9990894198417664,0.0076386816799640656
14,0.9807412028312683,0.0010000000474974513,0.0603959783911705,0.9998179078102112,0.006577091291546822
15,0.9822436571121216,0.0010000000474974513,0.05432681366801262,0.9996357560157776,0.00427043903619051
16,0.9831542372703552,0.0010000000474974513,0.0500226691365242,0.9994536638259888,0.010801493190228939
17,0.9855672717094421,0.0010000000474974513,0.04632769525051117,0.9992715120315552,0.005515255965292454
18,0.9918047785758972,0.0005000000237487257,0.026488156989216805,0.9998179078102112,0.0016645010327920318
19,0.9922600388526917,0.0005000000237487257,0.02448844164609909,1.0,0.0011710370890796185
20,0.9907575845718384,0.0005000000237487257,0.027619142085313797,0.9998179078102112,0.0011277802987024188
21,0.9924421906471252,0.0005000000237487257,0.024219360202550888,0.9998179078102112,0.0015299682272598147
22,0.9949917793273926,0.0002500000118743628,0.0161964762955904,0.9998179078102112,0.001072290469892323
23,0.995265007019043,0.0002500000118743628,0.015852276235818863,1.0,0.0006572268321178854
24,0.9934438467025757,0.0002500000118743628,0.020054489374160767,0.9998179078102112,0.001073006191290915
25,0.9945820569992065,0.0002500000118743628,0.01819087564945221,1.0,0.0005899463430978358
26,0.995674729347229,0.0001250000059371814,0.014383694157004356,1.0,0.0004929847200401127
27,0.9960389733314514,0.0001250000059371814,0.013035104610025883,1.0,0.00045369035797193646
28,0.9960845112800598,0.0001250000059371814,0.013057819567620754,1.0,0.00032522965921089053
29,0.9959023594856262,0.0001250000059371814,0.013436560519039631,1.0,0.000404379446990788
