epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.06606265157461166,3.111621141433716,0.15916955471038818,2.8454232215881348,0.0005000000237487257
2,0.189765065908432,2.5899055004119873,0.3944636583328247,1.9502438306808472,0.0005000000237487257
3,0.31592607498168945,2.0385591983795166,0.47550538182258606,1.597764015197754,0.0005000000237487257
4,0.39746859669685364,1.737411379814148,0.5545437932014465,1.2973885536193848,0.0005000000237487257
5,0.47268256545066833,1.5215041637420654,0.6109998226165771,1.1349223852157593,0.0005000000237487257
6,0.5346931219100952,1.3398798704147339,0.5130212903022766,1.3215105533599854,0.0005000000237487257
7,0.5840921401977539,1.1948583126068115,0.7448552250862122,0.767846405506134,0.0005000000237487257
8,0.6297577619552612,1.0689845085144043,0.7341103553771973,0.7302038073539734,0.0005000000237487257
9,0.6584866046905518,0.9796930551528931,0.7960298657417297,0.6043235659599304,0.0005000000237487257
10,0.6827536225318909,0.9041323065757751,0.8364596366882324,0.5213527083396912,0.0005000000237487257
11,0.7124385237693787,0.8239220976829529,0.8559460639953613,0.4414929449558258,0.0005000000237487257
12,0.7277362942695618,0.7784794569015503,0.8104170560836792,0.49052003026008606,0.0005000000237487257
13,0.7405754923820496,0.7306380867958069,0.8040429949760437,0.519550085067749,0.0005000000237487257
14,0.7678018808364868,0.6542676091194153,0.8355490565299988,0.43830421566963196,0.0002500000118743628
15,0.7780003547668457,0.6276412010192871,0.888909101486206,0.3189684748649597,0.0002500000118743628
16,0.788472056388855,0.6003943085670471,0.8894554972648621,0.31896230578422546,0.0002500000118743628
17,0.7927062511444092,0.5893047451972961,0.9032962918281555,0.29282015562057495,0.0002500000118743628
18,0.800901472568512,0.5628461837768555,0.90621018409729,0.27447471022605896,0.0002500000118743628
19,0.8072299957275391,0.5319295525550842,0.8776178956031799,0.3233141601085663,0.0002500000118743628
20,0.814605712890625,0.5184431076049805,0.8818066120147705,0.29429399967193604,0.0002500000118743628
21,0.8248952627182007,0.49185290932655334,0.9005645513534546,0.2564488351345062,0.0001250000059371814
22,0.8268530368804932,0.48436442017555237,0.9114915132522583,0.2373216301202774,0.0001250000059371814
23,0.8313148617744446,0.4766004681587219,0.9103988409042358,0.23439086973667145,0.0001250000059371814
24,0.8346384763717651,0.4678095877170563,0.9134948253631592,0.24432528018951416,0.0001250000059371814
25,0.8360954523086548,0.460879921913147,0.9122200012207031,0.22976846992969513,0.0001250000059371814
26,0.8380076289176941,0.4551251530647278,0.8981970548629761,0.25664928555488586,0.0001250000059371814
27,0.8426971435546875,0.44033434987068176,0.9331633448600769,0.19495505094528198,0.0001250000059371814
28,0.8465670943260193,0.43332910537719727,0.9278820157051086,0.1927797645330429,0.0001250000059371814
29,0.8463394641876221,0.4298964738845825,0.9218721389770508,0.20786935091018677,0.0001250000059371814
30,0.8535785675048828,0.4249960482120514,0.905663788318634,0.22828151285648346,0.0001250000059371814
