epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.09501912444829941,0.0010000000474974513,2.998528242111206,0.22491349279880524,2.416977882385254
1,0.3044072091579437,0.0010000000474974513,2.068533182144165,0.5188490152359009,1.4394980669021606
2,0.4865689277648926,0.0010000000474974513,1.4713438749313354,0.6354033946990967,1.0210100412368774
3,0.6028501391410828,0.0010000000474974513,1.1332675218582153,0.6922236680984497,0.8201017379760742
4,0.6878073215484619,0.0010000000474974513,0.8933397531509399,0.7200874090194702,0.7262303829193115
5,0.7436259388923645,0.0010000000474974513,0.7343510985374451,0.6862137913703918,0.7886571884155273
6,0.7809142470359802,0.0010000000474974513,0.6232756972312927,0.8706974983215332,0.36522340774536133
7,0.8169276714324951,0.0010000000474974513,0.524660050868988,0.9231469631195068,0.2372032254934311
8,0.840420663356781,0.0010000000474974513,0.4540415406227112,0.8805317878723145,0.3229789733886719
9,0.8562192916870117,0.0010000000474974513,0.4038746953010559,0.8945547342300415,0.2791374623775482
10,0.8858586549758911,0.0005000000237487257,0.3310977518558502,0.9561100006103516,0.1360093206167221
11,0.8931432962417603,0.0005000000237487257,0.30818408727645874,0.9287925958633423,0.173280268907547
12,0.8992441892623901,0.0005000000237487257,0.29289254546165466,0.9389910697937012,0.15488195419311523
13,0.9128118753433228,0.0002500000118743628,0.25540244579315186,0.9419049620628357,0.14639998972415924
14,0.9142687916755676,0.0002500000118743628,0.2503659129142761,0.9672191143035889,0.09724029898643494
15,0.9182298183441162,0.0002500000118743628,0.24059684574604034,0.9719541072845459,0.086394302546978
16,0.9205062985420227,0.0002500000118743628,0.2328481525182724,0.9670369625091553,0.09942543506622314
17,0.926743745803833,0.0002500000118743628,0.21931186318397522,0.9790566563606262,0.0741947814822197
18,0.9285193681716919,0.0002500000118743628,0.21064817905426025,0.9371699094772339,0.1630714237689972
19,0.9294299483299255,0.0002500000118743628,0.2077169418334961,0.9821526408195496,0.06161930412054062
20,0.9335275888442993,0.0002500000118743628,0.20084430277347565,0.9426333904266357,0.15743844211101532
21,0.9317519664764404,0.0002500000118743628,0.1947883814573288,0.9708614349365234,0.08047866821289062
22,0.9375796914100647,0.0001250000059371814,0.18432305753231049,0.9777818322181702,0.06791773438453674
23,0.9427244663238525,0.0001250000059371814,0.17422771453857422,0.9730467796325684,0.07990866899490356
24,0.9429976344108582,6.25000029685907e-05,0.16951322555541992,0.9777818322181702,0.06530430912971497
